preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 385.000,Endereço não informado,"Vila Scarabucci, Franca","100 m² tot.
2 quartos
3 ban.
2 vagas","Vende-se Belissima Casa no Jardim Elisa, próximo ao Sesi. Um terreno (5x25), sendo a área construida e totalmente regularizada, medindo 100mts. , sendo uma casa com 2 dormitórios amplos, tendo Suíte com closet. Granitos São Gabriel (pias de banheiros e nichos e acamento da janela) , granitos São Gabriel na cozinha: pia, balcão e pia na área gourmet, Cubas sobrepostas, cozinha com ilha de gesso para os pendentes do balcão e molduras de 15cm. Porcelanato. Todas as portas em branco laqueado. Porta de correr ao lado da social de estrutura de alumínio em 3 folhas de 1 metro (3mts). Telhado de telha de barro resinado Área Gourmet com telhado termo acústico com estrutura de alumínio e teto rebaixado em gesso. Churrasqueira retangular até em cima toda revestida. Garagem para 2 carros. Pintura das áreas em bramato. Frente da casa recuada com laje. Portão em toda extensão (4. 80 metros). Calçada feita com pedras portuguesas (peti pave). Acabamentos da parte elétrica toda em preto com muitos pontos. Aterramento em todas as tomadas. Parte de calhas completa com molduras. Parte de calhas completa com molduras. Torneiras de banheiro altas. Torneiras de cozinha e área gourmet flexível na cor preta. Acabamento de iluminação moderno (frente da casa, área gourmet, sala e cozinha e demais cômodos)."
R$ 500.000,Rua Rio Xingu AP,"Residencial Amazonas, Franca","112 m² tot.
3 quartos
2 ban.
2 vagas","Apartamento, pronto para morar, com armários planejados, área gourmert, garagem para 2 carros."
R$ 360.000,Endereço não informado,"Franca, São Paulo","125 m² tot.
3 quartos
2 ban.
2 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv e Jantar. Cozinha c/ Armários. Banheiro Social c/ Armários e Blindex. Lavanderia Coberta. Garagem para 2 Carros. Área Gourmet c/ Churrasqueira e Pia. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: ouQkkY2evFtgs2Yx"
R$ 799.000,Rua Caieiras 590,"Jardim Francano, Franca","125 m² tot.
3 quartos
5 ban.
3 vagas","125m² 03 dormitórios, sendo 03 suítes, 02 com sacada. Sala de tv. Sala de jantar. Cozinha. 2 Lavabos. Área de serviço. 3 vagas de garagem. Sacada. Área útil de 128 m² Lazer completo. Portaria 24h"
R$ 420.000,Rua Mirian Regina Pereira 5980,"Jardim Três Colinas, Franca","1 m² tot.
3 quartos
2 ban.
2 vagas",Vende-se Casa Residencial Três Colinas. Laudo caixa: 505. 000. Documentação pronta. 3 quartos (um suíte) Área gourmet. Churrasqueira revestida em porcelanato. Garagem pra 2 carros. Sanca. Iluminação em led. água quente já estalado e funcionando nos banheiros e cozinha. Lavanderia. Sala e cozinha Pé direito 4 metros. Porcelanato. Toda em blindex. Quarto com esquadrias em alumínio. 125 metros de terreno. 88 metros de construção
R$ 349.000,Franca 900,"Jardim Piratininga, Franca","72 m² tot.
2 quartos
2 ban.
2 vagas","Vende-se apartamento totalmente privativo - jardim piratininga. Apartamento térreo com entrada independente, composto por: Dois dormitórios, sendo uma suíte. Amplo quintal. Área de claridade na suíte. Banheiro social. Cozinha ampla, com armários. Este apartamento tem o jeito de casa, oferecendo total privacidade e conforto. Localizado no bairro Jardim Piratininga. Entre em contato para mais informações!"
R$ 200.000,Endereço não informado,"Jardim Luiza II, Franca",220 m² tot.,Terreno o bairro Jardim Luiza ii. &#xD; Lote de esquina. &#xD; Totalmente murado. &#xD; 220 M² - 31/08/2025
R$ 299.000,Rua dos Jasmins 1010,"Franca, São Paulo","79 m² tot.
2 quartos
2 ban.
1 vaga",79m2. 2 dormitórios sendo 1 suíte. Sacada nos dois dormitórios. Lavanderia. 1 vaga de garagem
R$ 260.000,Endereço não informado,"Residencial São Jerônimo, Franca","4999 m² tot.
2 quartos
2 ban.
1 vaga","Vende-se Apartamento Residencial São Jerônimo. Espetáculo de apartamento, ideal para quem busca conforto, praticidade e ótima localização! Características do imóvel: 2 dormitórios (sendo 1 suíte ampla) Cozinha rica em armários planejados. Cooktop e coifa instalados. Sala ampla e bem iluminada. Lavanderia com armários. Banheiros com box e armários. Piso porcelanato. Sanca com iluminação em led. Apartamento no pavimento superior. Localização privilegiada. 1 vaga de garagem."
R$ 315.000,Franca 1000,"Prolongamento Jardim Ângela Rosa, Franca",500 m² tot.,Vende-se terrenos Prolongamento Ângela Rosa. 500m² 2 Terrenos desmembrados. Entre em contato e agende uma visita
R$ 450.000,Praça Gleuce Finatti,"Vila Rezende, Franca","190 m² tot.
2 quartos
2 ban.
3 vagas","Casa com Estrutura de Qualidade e Espaços Amplos. Apresentamos uma excelente oportunidade de compra uma casa construída com tijolinho à vista, que une durabilidade, estilo rústico e charme atemporal. Com 190m² de área construída em um terreno de 250m², o imóvel oferece ambientes amplos, bem distribuídos e ideal para quem busca conforto e praticidade no dia a dia. Características do Imóvel. 2 dormitórios, sendo 1 suíte. 2 banheiros grandes. Sala de estar muito espaçosa, com cerca de 7 metros de comprimento. Garagem coberta para até 3 veículos. Construção sólida e bem conservada. Se você busca uma casa com excelente estrutura, ambientes generosos e pronta para morar, essa é a oportunidade ideal. Entre em contato agora mesmo e agende uma visita"
R$ 350.000,Endereço não informado,"Jardim Francano, Franca",260 m² tot.,Vende-se Terreno no Jardim Francano com 260 mts2 de área. 10 mts de frente por 26mts todo murado com portão basculante.
R$ 1.030.000,Franca 1210,"Prolongamento Jardim Flórida, Franca","250 m² tot.
3 quartos
4 ban.
4 vagas","Casa à venda, localizado na cidade de Franca, no bairro Prolongamento Jardim Flórida. O imóvel tem 3 quartos, sendo 3 suítes, possui 5 banheiros, 2 salas e 4 vagas de garagem. Área total de 250m² e 210m² de área útil. Valor do imóvel: R$ 1. 030. 000, 00"
R$ 850.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
3 quartos
3 ban.
3 vagas","3 Dormitórios sendo 1 Suíte c/ Closet. Sala de tv Ampla c/ Painel (Pé Direito Alto) Cozinha com Armários e Ilha. Piscina Aquecida c/ Cascata e Iluminação em Led. Área Gourmet Completa c/ Armários e Lavabo. Aquecimento nos Banheiros, Cozinha e Área Gourmet. Iluminação em Led, Esquadrias de Alumínio, Aquecimento. Banheiros c/ Armários e Blindex. Rico em Porcelanato, Pias Esculpidas, Portão Automatizado Rápido. Lavanderia Ampla Coberta. Garagem p/ 03 Carros. Excelente Localização (Parte Alta) rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: j45dof3kwivSe5V7"
R$ 310.000,Endereço não informado,"Jardim Luiza, Franca","60 m² tot.
2 quartos
2 ban.
2 vagas","Vende-se Casa no Jardim Luiza I - Bem localizada, imóvel ótima procedência. São 2 dormitórios, sendo 1 suíte, 2 banheiros. Cozinha integrada com sala de jantar; Quintal amplo com espaço gourmet, churrasqueira e lavanderia, garagem coberta para 2 carros. Oportunidade Imperdivel!"
R$ 4.200.000,Franca 400,"Núcleo Agrícola Alpha, Franca","410 m² tot.
4 quartos
5 ban.
4 vagas","Linda casa de condomínio à venda, no Villaggio Di Firenze. O imóvel tem 4 quartos, sendo 4 suítes, possui 5 banheiros, 2 salas e 4 vagas de garagem. Área total de 410m² e 410m² de área útil. Não perca sua chance de conhecer este imóvel incrível em uma das melhores regiões de. Possui todo o conforto e segurança que você e sua família precisam! Valor do imóvel: R$ 4. 200. 000, 00"
R$ 690.000,Franca 3890,"Franca, São Paulo","160 m² tot.
3 quartos
3 ban.
3 vagas","Vende-se casa primo meneguetti 2. - 160 m2 de construção, - terreno de 200m², - 3 dormitórios (1 com suíte E closet) - todos com guarda roupas modulado, - 3 banheiros (sendo 2 social E um suíte), - cozinha com forno E fogão coktop, - rica em armários E balcões, - lavanderia rica em armário modulado, - copa grandre, com lustre E sanca com luzes, - sala grandre, com lustre E sanca com luzes, - toda de piso porcelanato, - casa com corredor livre dos dois lados, - garagem para 3 carros. - area gourmet, com banheiro social. - agua quente nos banheiros E cozinha ja instalado, - caixa D'agua reservatório de 1000 litros. - água quente com reservatório de 500 litros totalizando 1500 litros, - portão basculante automático, - cameras de monitoramento remoto, - todas as portas E janelas com sensores de alarme, - sistema de alarme com discagem pela internet E discadora A parte, - cerca elétrica, - grade nos corredores, - com instalação de antena E internet nos quartos, - instalação para ar condicionado para os quartos E sala. - casa rica em móveis planejado, balcões E guarda roupas, - com tomadas em varias partes em todos os CÔmodos, - parte estrutural de primeira com brocas de fundação de 5M de fundura, - documentação toda em dia, - aceito financiameto,"
R$ 350.000,Endereço não informado,"Parque Residencial Nova Franca, Franca","116 m² tot.
3 quartos
2 ban.
2 vagas","Casa á venda no Bairro Nova Franca. &#xD; &#xD; Casa de esquina, arejada, excelente localização. &#xD; 3 dormitórios sendo 1 suíte;&#xD; Banheiro social;&#xD; Sala de estar;&#xD; Cozinha com planejados;&#xD; Lavanderia;&#xD; Corredores externos;&#xD; 2 vagas de garagem. &#xD; Portão eletrônico&#xD; Interfone&#xD; Cerca elétrica&#xD; &#xD; Agende já sua visita&#xD; João Paulo&#xD; (16) Ver dados - 31/08/2025"
R$ 195.000,Rua Bahij Toufik Kanawati 4100,"Chácara Espraiado, Franca","57 m² tot.
2 quartos
1 banheiro
1 vaga",Apartamento Residencial Fremont. - 02 Dormitórios. - Sala. - Cozinha Planejada. - CookTop. - Lavanderia com planejados. - 01 Vaga. Condomínio com lazer completo.
R$ 1.590.000,Rua Floriano Peixoto,"Centro, Franca","150 m² tot.
3 quartos
4 ban.
4 vagas","Apartamento Amplo com Vista Privilegiada Francasp. Conforto, sofisticação e uma bela vista em um dos melhores condomínios da cidade. 150m² de área útil. 286, 73m² de área total. 3 suítes amplas, com piso laminado amadeirado e rodapé em pvc branco. 4 vagas de garagem Vagas 159, 160, 161 e 162 Subsolo 1. Sistema de aquecimento a gás para chuveiros e torneiras. Vista deslumbrante do alto, trazendo mais leveza e exclusividade ao seu dia a dia. Condomínio com portaria 24h e lazer completo. Piscina. Sauna. Área de churrasco. Salão de festas. Home cinema. Brinquedoteca. Playground. Sala de jogos. Academia. Um imóvel que combina espaço, elegância e uma vista incrível ideal para quem valoriza qualidade de vida. Entre em contato para agendar sua visita"
R$ 4.200.000,Endereço não informado,"Morada do Verde, Franca","1400 m² tot.
3 quartos
5 ban.
4 vagas","Vende-se casa espetacular em Condomínio Fechado! &#xD; &#xD; Casa toda aberta e integrada, com três suítes, sendo uma com closet e hidro, salas de estar, jantar e Tv, escritório, cozinha, área de serviço. Área de lazer com espeço gourmet e piscina lindíssima! Projeto da arquiteta Daniela Mestres. Terreno de 1. 400m². Maravilhoso paisagismo. &#xD; &#xD; A Morada do Verde oferece diversos itens de lazer, entre eles: pista de caminhada, playground, campo de futebol e quadra poliesportiva. O condomínio conta com portaria, cerca elétrica e câmera de segurança. &#xD; &#xD; Área do Terreno: 1. 400, 00m²&#xD; Área Construída: 386, 57m²&#xD; &#xD; Valor: R$4. 200. 000, 00 - 31/08/2025"
R$ 480.000,Rua Hercílio Batista de Avelar 729,"Parque Progresso, Franca","125 m² tot.
2 quartos
2 ban.
2 vagas",02 dormitórios sendo 01 suíte. Sala. Cozinha. Lavanderia coberta. 02 vagas de garagem Cobertas
R$ 690.000,Rua Estevão Leão Bourroul 2058,"Centro, Franca","217 m² tot.
2 quartos
2 ban.
2 vagas","Casa A venda estevão leão borroul. 2 Dormitórios. Sala de Jantar. Sala de tv. Cozinha. 2 Banheiro Social. Armários planejados: cozinha e dormitórios. Terreno: 216, 79m². Espaço: Amplo e flexível, ideal para lojas, escritórios, clínicas e outros. Visibilidade: Local com grande fluxo de pessoas e veículos, garantindo alta visibilidade para a sua marca. Acessibilidade: Fácil acesso a transporte público e estacionamentos próximos."
R$ 370.000,Franca 1001,"Franca, São Paulo","200 m² tot.
3 quartos
2 ban.
5 vagas","Casa Terreno Inteiro. Área Total de 200, 00 m² Construção 80, 00 m² 3 Dormitórios Sendo. ( 1 Suíte Com Espaço Para Closet) Sala e Cozinha Integrada. Lavanderia Espaçosa e Coberta. Porcelanato, Gás Encanado. Pintura em Grafiato. Portão de 5 metros. Garagem para 4 Carros Descoberto"
R$ 560.000,Rua Serafin Borges do Val,"Jardim Noêmia, Franca","2 quartos
3 ban.
2 vagas","Apartamento Duplex no Jardim Noêmia Fino Acabamento. Características. 2 suítes aconchegantes. Sala de tv e jantar integradas. 2 lavabos sociais um deles na cobertura. Cozinha planejada. Varanda gourmet perfeita para lazer. 2 vagas de garagem. 160m² de área privativa. Localizado no Jardim Noêmia bairro valorizado e tranquilo. Imóvel com fino acabamento, pensado em cada detalhe para oferecer conforto e sofisticação. Valor R 560. 000, 00"
R$ 275.000,Rua Minas Gerais 457,"Vila Aparecida, Franca","77 m² tot.
3 quartos
2 ban.
2 vagas","Apartamento 77m² 03 dormitórios, sendo 01 suíte. Banheiro social. Cozinha. Lavanderia. Sala de tv. 02 Vagas cobertas. Próximo a Av. Presidente Vargas"
R$ 279.999,Rua dos Jasmins 1010,"Franca, São Paulo","79 m² tot.
2 quartos
2 ban.
1 vaga","Área construída: 79m² 02 dormitórios, sendo 01 suíte. 02 banheiros. Lavanderia. 01 Vaga de garagem. Sala integrada com cozinha"
R$ 650.000,Rua Cássia,"Jardim Francano, Franca","300 m² tot.
2 quartos
3 ban.
5 vagas","Imóvel amplo com 300 m² 2 dormitórios sendo 1 suíte. 3 banheiros. 2 salas aconchegantes. Sistema de água quente com boia. Garagem descoberta para até 5 carros. Área gourmet pronta para receber família e amigos. Amplo espaço externo que permite construção de jardim ou piscina. Imóvel completo, com excelente metragem e lazer garantido, ideal para quem busca conforto e espaço para aproveitar bons momentos."
R$ 1.590.000,Endereço não informado,"Centro, Franca","287 m² tot.
3 quartos
3 ban.
4 vagas","Apartamento com vista panorÂmica À venda&#xD; &#xD; Imóvel conta com 3 amplas suítes com revestimento em laminado amadeirado e rodapé em pvc branco;&#xD; Sala e cozinha integradas;&#xD; Fino acabamento;&#xD; 150m² de área útil e 286, 73m² de área total;&#xD; 4 vagas de garagem;&#xD; Sistema de aquecimento dos chuveiros e torneiras à gás;&#xD; Portaria 24 horas&#xD; Desfrute de momentos incríveis de lazer para você e sua família noa ambientes: &#xD; Piscina;&#xD; Playground;&#xD; Sauna;&#xD; Salão de festas &#xD; Àrea gourmet de churrasco;&#xD; Academia;&#xD; Brinquedoteca;&#xD; E muito mais! &#xD; *Conforto e exclusividade, somente 2 apartamentos por andar*&#xD; &#xD; Entre em contato conosco, visite e se surpreenda! - 31/08/2025"
R$ 570.000,Franca 789,"Franca, São Paulo","167 m² tot.
3 quartos
2 ban.
2 vagas","Vende-se linda casa villagio mundo novo. Área Construída 167, 76 m² Área Terreno 220, 00 m² 03 dormitórios sendo 01 suíte. Sala ampla integrada. Cozinha planejada. 02 Vagas de garagem coberta. Área gourmet. Churrasqueira. Banheiros c/ box"
R$ 400.000,Endereço não informado,"Franca, São Paulo","80 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de tv e Jantar Integrados. Cozinha com Armários. Banheiro Social. Sacada Gourmet. Lavanderia. Garagem para 2 Carros. Rico em Armários. Acabamento Fino. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: kA6tqMxJnse3cumN"
R$ 180.000,Franca 1001,"Vila Santa Cruz, Franca","50 m² tot.
2 quartos
1 banheiro
1 vaga","Apartamento Padrão. - 02 Dormitórios. - Localização estratégica, perto de tudo. - 01 vaga de garagem. - Condomínio com lazer completo. - Ótimo custo-benefício"
R$ 300.000,Rua Nasira da Silva Duarte 2800,"Franca, São Paulo","125 m² tot.
2 quartos
2 ban.
2 vagas",125 metros de terreno. 80 metros construída. pintura nova. garagem para dois carros. sala ampla. cozinha. 2 quartos sendo um suíte. banheiro social. área de serviço
